QUESTION,ANSWER
What is Fund Value?,Fund Value is the total number of units under the funds and the corresponding NAVs You can check out the latest Net Asset Value (NAV) of your fundsVia SMS : Send FV <<space>> (Policy Number) to 56161 OR 9250001848 .By giving a missed call to 022-27599901.By logging on to the customer self service portal. By calling the customer care at 1800-267-9090. You will also receive a Fund value statement at each Policy Anniversary and after any payment or withdrawal. 
What is Deferment Period?,It is the period between the date of subscription to an insurance-cum-pension policy and the date on which you receive the first installment of pension. Such policies generally prescribe a minimum and maximum limit on the deferment period
What is Redirection?,Redirection or Premium Redirection refers to changing the proportions in which your future contributions will get invested into the different funds chosen by you. You should note that redirection will only impact the way future contributions are invested and does not affect the composition of existing amounts lying in different funds. 
Where should I write in case I have any query/grievance with regards to my Sahara Life policy?,You may write to us on saharalife@sbilife.co.in
Where should I call for any query regarding my Sahara life Policy?,You may call on our toll-free number anytime; our toll-free number is 1800-267-9090. 
When can I call you on the Toll-free number?,You may call us anytime; our toll-free services are available 24X7. 
How do I submit/intimate a death claim?,"Death claim can be submitted through below modes- • Submit all documents at nearest SBI Life Branch office. • Through email -You can mail all claim documents on saharalife@sbilife.co.in / claims@sbilife.co.in • Through courier/post, etc on the below address. SBI Life Insurance Co. Ltd, 7th Level (D Wing) And 8th Level, Seawoods Grand Central, Tower 2, Plot No R-1, Sector 40, Seawoods, Nerul Node, Navi Mumbai, Maharashtra 400706	 "
 Which documents are required to be submitted for death claim?,"Below mandatory documents are required to be submitted - • Duly filled & signed death claim form • Original death certificate issued by appropriate authority. • Original policy document. • Copy of cancelled cheque with pre-printed name of the account holder OR Self-attested copy of the front page of bank passbook.
"
Are there any additional documents in case of accidental or unnatural death,In addition to above mentioned documents you need to submit • FIR (First Information Report)/ Police Panchnama report. • Final police report or Magistrate's report. • copy of the Forensic report if applicable. • Post mortem report.
From where can I download the Death Claim Form?,You can download the Death Claim Form from our website through the following           path: https://www.sbilife.co.in/en/services/download-center/claim-forms 
How can I avail policy servicing in my policy?,Please visit nearest SBI Life branch office to submit your request for servicing 
What are the documents to be submitted to avail policy servicing?,"Please submit the following documents at SBI Life branch office • Original policy bond for verification. • Last premium paid receipt • KYC documents (PAN, Aadhar, Driving Licence, Voters id) • Service request form. (Available in branch or website) • Copy of cancelled cheque with pre-printed name of the account holder OR Self-attested copy of the front page of bank passbook "
From where can I download the Policy Servicing Form?,You can download the Policy servicing forms from our website through the following path: https://www.sbilife.co.in/en/services/download-center/policy-servicing-forms 
How to pay renewal premium for my Sahara life insurance policy? ,You can pay your Sahara life insurance policy premium at any of the SBI life insurance co ltd branches through cheque / DD in SBI LIFE INSURANCE COMPANY LTD.
